"inventory_id","inventory_version","conceptual_activity","gcam_label_status","priority","include_in_mvp","gcam_cluster","gcam_sector","gcam_subsector","gcam_technology","gcam_fuel","activity_variable","activity_unit","direct_emissions_scope","process_emissions_possible","combustion_emissions_possible","electricity_only","air_quality_supplemental","scenario_driver","required_pollutants","preferred_ef_basis","annual_activity_source_ids","status","rationale","notes"
"ind_plastics_products","0.2.0","Plastic-product manufacturing","conceptual_pending_model_file","P2","false","industry","plastics","products","plastic_product_manufacturing","fuel_and_solvent_specific","plastic_product_output","tonne plastic product","mixed_direct","true","true","false","false","plastic-product output","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO","tonne plastic product","gcam_kaist_external|kosis_industry|kesis_survey","proxy_required","Combustion and solvent/process emissions need separate allocation.","No aggregate factor should be entered as a raw EF."
"ind_nonferrous_primary","0.2.0","Primary non-ferrous metals","conceptual_pending_model_file","P2","false","industry","nonferrous_metals","primary","primary_metal_production","metal_specific","primary_metal_output","tonne metal","combustion_and_process","true","true","false","false","primary metal output by metal","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","tonne metal","gcam_kaist_external|kosis_industry|kesis_survey","proxy_required","Metal-specific process and furnace factors are required.","Do not pool aluminium, copper, lead, and zinc factors."
"ind_nonferrous_secondary","0.2.0","Secondary non-ferrous metals","conceptual_pending_model_file","P2","false","industry","nonferrous_metals","secondary","secondary_metal_production","metal_specific","secondary_metal_output","tonne metal","combustion_and_process","true","true","false","false","secondary metal output by metal","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","tonne metal","gcam_kaist_external|kosis_industry|kesis_survey","proxy_required","Secondary furnaces differ from primary production.","Preserve metal and furnace type."
"ind_pulp","0.2.0","Pulp production","conceptual_pending_model_file","P2","false","industry","pulp_paper","pulp","pulp_production","feedstock_specific","pulp_production","tonne air-dry pulp","process","true","false","false","false","pulp production","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO","tonne air-dry pulp","gcam_kaist_external|kosis_industry","proxy_required","Pulp process emissions require physical output.","Recovery boiler combustion is separate."
"ind_paper","0.2.0","Paper production","conceptual_pending_model_file","P2","false","industry","pulp_paper","paper","paper_production","product_specific","paper_production","tonne paper","combustion_and_process","true","true","false","false","paper production","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO","tonne paper","gcam_kaist_external|kosis_industry|kesis_survey","proxy_required","Paper drying combustion and process emissions may coexist.","Keep fuel consumption separate when available."
"ind_pulp_recovery_boiler","0.2.0","Pulp recovery boilers","conceptual_pending_model_file","P2","false","industry","pulp_paper","pulp","recovery_boiler","black_liquor","black_liquor_energy","TJ black liquor","combustion","false","true","false","false","chemical-pulp output and black-liquor energy","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","TJ black liquor","kosis_industry|kesis_survey","proxy_required","Recovery boilers require black-liquor activity and controls.","Do not proxy automatically with generic biomass combustion."
"ind_pulp_lime_kiln","0.2.0","Pulp lime kilns","conceptual_pending_model_file","P2","false","industry","pulp_paper","pulp","lime_kiln","fuel_specific","lime_kiln_output","tonne lime","combustion_and_process","true","true","false","false","chemical-pulp or lime output","NOx|SOx|PM2.5|PM10|TSP|CO","tonne lime","kosis_industry|kesis_survey","proxy_required","Lime kilns combine combustion and mineral process emissions.","Avoid overlap with recovery boilers."
"ind_other_mfg_combustion","0.2.0","Other manufacturing combustion","conceptual_pending_model_file","P1","true","industry","other_manufacturing","combustion","industrial_combustion","fuel_specific","manufacturing_fuel_consumption","TJ fuel","combustion","false","true","false","false","manufacturing energy by fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Residual manufacturing combustion needs fuel-specific factors.","Exclude named steel, cement, chemical, metal, and paper combustion."
"ind_other_mfg_process","0.2.0","Other manufacturing process emissions","conceptual_pending_model_file","P2","false","industry","other_manufacturing","process","manufacturing_process","product_specific","manufacturing_output","tonne product","process","true","false","false","false","manufacturing output by industry","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO","tonne product","gcam_kaist_external|kosis_industry","not_yet_researched","Residual process sources require industry-specific denominators.","Retain unresolved activities rather than assigning zero."
"trn_road_passenger_gasoline_ldv","0.2.0","Passenger gasoline LDV","conceptual_pending_model_file","P1","true","transportation","road_passenger","light_duty_vehicle","gasoline_ldv","gasoline","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","passenger travel and fleet shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","available","CAPSS has fuel, class, model-year, standard, and speed equations.","Evaporative VOC needs separate g/vehicle/day or g/trip terms."
"trn_road_passenger_diesel_ldv","0.2.0","Passenger diesel LDV","conceptual_pending_model_file","P1","true","transportation","road_passenger","light_duty_vehicle","diesel_ldv","diesel","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","passenger travel and fleet shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","available","Diesel LDV requires model-year and control weighting.","Non-exhaust road dust is supplemental."
"trn_road_passenger_lpg_ldv","0.2.0","Passenger LPG LDV","conceptual_pending_model_file","P1","true","transportation","road_passenger","light_duty_vehicle","lpg_ldv","LPG","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","passenger travel and fleet shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","available","CAPSS provides LPG class and model-year factors.","Taxi allocation may need a separate fleet share."
"trn_road_passenger_hybrid_ldv","0.2.0","Passenger hybrid LDV","conceptual_pending_model_file","P1","true","transportation","road_passenger","light_duty_vehicle","gasoline_hybrid_ldv","gasoline_and_electricity","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","passenger travel and hybrid fleet shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","available","Only engine-on operation receives direct tailpipe factors.","Electric drive share changes the annual effective factor."
"trn_road_bus","0.2.0","Road buses","conceptual_pending_model_file","P1","true","transportation","road_passenger","bus","bus","diesel_CNG_and_electric","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","bus travel by fuel and class","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","partially_available","CAPSS separates urban, intercity, charter, and express buses.","Electric bus distance has zero direct combustion and must be separated."
"trn_road_motorcycle","0.2.0","Motorcycles","conceptual_pending_model_file","P1","true","transportation","road_passenger","motorcycle","motorcycle","gasoline","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","motorcycle travel and engine class","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","available","CAPSS separates displacement and model-year groups.","Deterioration and speed weighting remain annual calculations."
"trn_road_freight_lcv","0.2.0","Light commercial vehicles","conceptual_pending_model_file","P1","true","transportation","road_freight","light_commercial_vehicle","light_commercial_vehicle","fuel_specific","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","freight travel by vehicle class","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","partially_available","Light freight must not be pooled with heavy trucks.","Resolve Korean CAPSS class boundary against model payload."
"trn_road_freight_mdv","0.2.0","Medium-duty freight trucks","conceptual_pending_model_file","P1","true","transportation","road_freight","medium_duty_truck","medium_duty_truck","diesel","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","freight travel by vehicle class","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","partially_available","Medium freight factors differ from light and heavy classes.","CAPSS class allocation requires payload or registration weights."
"trn_road_freight_hdv","0.2.0","Heavy-duty freight trucks","conceptual_pending_model_file","P1","true","transportation","road_freight","heavy_duty_truck","heavy_duty_truck","diesel","vehicle_distance","vehicle-km","mobile_combustion","false","true","false","false","freight travel by vehicle class","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","vehicle-km","gcam_kaist_external|molit_vehicle_registration|molit_traffic","available","Heavy truck factors require model year, standard, and speed.","Keep dump and concrete-mixer categories separate when activity permits."
"trn_rail_diesel_passenger","0.2.0","Diesel passenger rail","conceptual_pending_model_file","P1","true","transportation","rail","passenger","diesel_passenger_rail","diesel","traction_fuel_consumption","tonne diesel","mobile_combustion","false","true","false","false","passenger rail service and diesel share","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","tonne diesel","gcam_kaist_external|rail_statistics|kesis_balance","partially_available","CAPSS rail activity is traction fuel consumption.","Only diesel traction receives direct emissions."
"trn_rail_diesel_freight","0.2.0","Diesel freight rail","conceptual_pending_model_file","P1","true","transportation","rail","freight","diesel_freight_rail","diesel","traction_fuel_consumption","tonne diesel","mobile_combustion","false","true","false","false","freight rail service and diesel share","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","tonne diesel","gcam_kaist_external|rail_statistics|kesis_balance","partially_available","Freight rail must be allocated from traction fuel or locomotive work.","Passenger and freight may share CAPSS aggregate rail categories."
"trn_rail_electric_passenger","0.2.0","Electric passenger rail","conceptual_pending_model_file","P2","false","transportation","rail","passenger","electric_passenger_rail","electricity","passenger_rail_service","passenger-km","none_on_site","false","false","true","false","passenger rail demand","","not applicable","gcam_kaist_external|rail_statistics","not_applicable","Purchased electricity has no direct non-power EF.","Upstream emissions remain in the power module."
"trn_rail_electric_freight","0.2.0","Electric freight rail","conceptual_pending_model_file","P2","false","transportation","rail","freight","electric_freight_rail","electricity","freight_rail_service","tonne-km","none_on_site","false","false","true","false","freight rail demand","","not applicable","gcam_kaist_external|rail_statistics","not_applicable","Electric traction has no direct combustion emissions.","Upstream emissions remain in the power module."
"trn_aviation_passenger_lto","0.2.0","Domestic passenger aviation LTO","conceptual_pending_model_file","P1","true","transportation","aviation","passenger_lto","passenger_aircraft_lto","jet_fuel","landing_takeoff_cycles","LTO cycle","mobile_combustion","false","true","false","false","domestic passenger flights by aircraft","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","LTO cycle","gcam_kaist_external|aviation_statistics","available","CAPSS represents aircraft-engine combinations and LTO modes.","Do not apply LTO factors to cruise activity."
"trn_aviation_passenger_cruise","0.2.0","Domestic passenger aviation cruise","conceptual_pending_model_file","P2","false","transportation","aviation","passenger_cruise","passenger_aircraft_cruise","jet_fuel","cruise_fuel_consumption","kg aviation fuel","mobile_combustion","false","true","false","false","domestic passenger flight distance and fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","kg aviation fuel","gcam_kaist_external|aviation_statistics|kesis_balance","proxy_required","Domestic cruise is distinct from airport LTO emissions.","Route and aircraft-engine shares are needed."
"trn_aviation_freight_lto","0.2.0","Domestic freight aviation LTO","conceptual_pending_model_file","P2","false","transportation","aviation","freight_lto","freight_aircraft_lto","jet_fuel","landing_takeoff_cycles","LTO cycle","mobile_combustion","false","true","false","false","domestic freight flights by aircraft","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","LTO cycle","gcam_kaist_external|aviation_statistics","proxy_required","Freight LTO may require allocation from mixed passenger-cargo flights.","Keep aircraft-engine combinations."
"trn_aviation_freight_cruise","0.2.0","Domestic freight aviation cruise","conceptual_pending_model_file","P2","false","transportation","aviation","freight_cruise","freight_aircraft_cruise","jet_fuel","cruise_fuel_consumption","kg aviation fuel","mobile_combustion","false","true","false","false","domestic freight tonne-km and fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","kg aviation fuel","gcam_kaist_external|aviation_statistics|kesis_balance","proxy_required","Cruise allocation must handle belly freight explicitly.","Do not use passenger-km as a direct EF denominator."
"trn_shipping_passenger","0.2.0","Domestic passenger shipping","conceptual_pending_model_file","P1","true","transportation","shipping","passenger","passenger_vessel","marine_fuel_specific","marine_fuel_consumption","tonne marine fuel","mobile_combustion","false","true","false","false","passenger vessel calls, hours, and fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","tonne marine fuel","gcam_kaist_external|mof_shipping|port_mis|mof_ship_ef","partially_available","Passenger vessels require cruise, maneuvering, and hoteling weights.","Fuel sulfur and engine type must remain explicit."
"trn_shipping_freight","0.2.0","Domestic freight shipping","conceptual_pending_model_file","P1","true","transportation","shipping","freight","freight_vessel","marine_fuel_specific","marine_fuel_consumption","tonne marine fuel","mobile_combustion","false","true","false","false","freight vessel calls, hours, and fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","tonne marine fuel","gcam_kaist_external|mof_shipping|port_mis|mof_ship_ef","partially_available","Commercial freight fleet factors require engine, mode, and sulfur shares.","Never substitute leisure-vessel factors without a proxy flag."
"trn_shipping_fishing","0.2.0","Fishing vessels","conceptual_pending_model_file","P1","true","transportation","shipping","fishing","fishing_vessel","marine_diesel","marine_fuel_consumption","tonne marine fuel","mobile_combustion","false","true","false","false","fishing effort and fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","tonne marine fuel","gcam_kaist_external|mof_shipping|fisheries_statistics|mof_ship_ef","partially_available","CAPSS has a separate fishing-vessel source.","Distinguish fishing activity from freight shipping."
"trn_nonroad_construction","0.2.0","Construction machinery","conceptual_pending_model_file","P1","true","transportation","nonroad_machinery","construction","construction_machinery","diesel","nonroad_fuel_consumption","litre diesel","mobile_combustion","false","true","false","false","construction equipment stock, hours, and fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","litre diesel","gcam_kaist_external|construction_machinery_stats|kesis_balance","available","CAPSS separates equipment types, tier, year, power, and load.","Construction fugitive dust is a separate supplemental row."
"trn_nonroad_port_cargo","0.2.0","Port cargo-handling equipment","conceptual_pending_model_file","P2","false","transportation","nonroad_machinery","port","port_cargo_handling_equipment","diesel_and_electricity","equipment_energy","TJ fuel","mobile_combustion","false","true","false","false","port cargo throughput and equipment fleet","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","TJ fuel consumed","port_mis|mof_shipping|kesis_balance","proxy_required","Direct diesel equipment emissions need port-specific fleet activity.","Electric equipment receives no direct factor."
"bld_residential_space_heat","0.2.0","Residential space heating direct combustion","conceptual_pending_model_file","P1","true","buildings","residential","space_heating","direct_combustion","fuel_specific","space_heating_fuel","TJ fuel","combustion","false","true","false","false","residential useful heat and fuel shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Direct on-site fuels include gas, LPG, kerosene, oil, coal, and biomass.","Electric heat receives no direct non-power EF."
"bld_residential_water_heat","0.2.0","Residential water heating direct combustion","conceptual_pending_model_file","P2","false","buildings","residential","water_heating","direct_combustion","fuel_specific","water_heating_fuel","TJ fuel","combustion","false","true","false","false","residential water heat and fuel shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Water heating fuel use may differ from space heating.","Preserve fuel-specific activity."
"bld_residential_cooking","0.2.0","Residential cooking direct combustion","conceptual_pending_model_file","P1","true","buildings","residential","cooking","cooking_combustion","natural_gas_and_LPG","cooking_fuel","TJ fuel","combustion","false","true","false","false","residential cooking energy by fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Cooking is separate from space and water heating.","Food-cooking aerosol is outside this combustion row."
"bld_commercial_space_heat","0.2.0","Commercial space heating direct combustion","conceptual_pending_model_file","P1","true","buildings","commercial","space_heating","direct_combustion","fuel_specific","space_heating_fuel","TJ fuel","combustion","false","true","false","false","commercial useful heat and fuel shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Commercial boilers and engines have fuel-specific factors.","Purchased electricity is excluded from direct emissions."
"bld_commercial_water_heat","0.2.0","Commercial water heating direct combustion","conceptual_pending_model_file","P2","false","buildings","commercial","water_heating","direct_combustion","fuel_specific","water_heating_fuel","TJ fuel","combustion","false","true","false","false","commercial water heat and fuel shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Water-heating controls and fuels require weighting.","Do not reuse residential factors without proxy documentation."
"bld_commercial_cooking","0.2.0","Commercial cooking direct combustion","conceptual_pending_model_file","P1","true","buildings","commercial","cooking","cooking_combustion","natural_gas_and_LPG","cooking_fuel","TJ fuel","combustion","false","true","false","false","commercial cooking energy by fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Combustion is distinct from meat/fish cooking aerosol.","The latter may be added as supplemental biogenic combustion."
"bld_public_space_heat","0.2.0","Public-building space heating direct combustion","conceptual_pending_model_file","P1","true","buildings","public","space_heating","direct_combustion","fuel_specific","space_heating_fuel","TJ fuel","combustion","false","true","false","false","public-building heat and fuel shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Public facilities are separated from commercial buildings.","Electric heat has no direct factor."
"bld_public_water_heat","0.2.0","Public-building water heating direct combustion","conceptual_pending_model_file","P2","false","buildings","public","water_heating","direct_combustion","fuel_specific","water_heating_fuel","TJ fuel","combustion","false","true","false","false","public-building water heat and fuel shares","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Retain public-building service and fuel identity.","Controls may differ from commercial facilities."
"agr_livestock_cattle","0.2.0","Beef cattle manure and housing","conceptual_pending_model_file","P1","true","agriculture_land","livestock","cattle","cattle","not_applicable","animal_population","animal-year","fugitive","true","false","false","false","cattle population and manure system","PM2.5|PM10|TSP|NH3","animal-year","gcam_kaist_external|livestock_statistics|korean_livestock_nh3_paper","partially_available","Housing, storage, and application factors require system shares.","CAPSS also has livestock fugitive particulate; prevent overlap."
"agr_livestock_dairy","0.2.0","Dairy cattle manure and housing","conceptual_pending_model_file","P1","true","agriculture_land","livestock","dairy_cattle","dairy_cattle","not_applicable","animal_population","animal-year","fugitive","true","false","false","false","dairy population and manure system","PM2.5|PM10|TSP|NH3","animal-year","gcam_kaist_external|livestock_statistics|korean_livestock_nh3_paper","partially_available","Dairy factors differ from other cattle.","Weight housing, storage, and land application."
"agr_livestock_swine","0.2.0","Swine manure and housing","conceptual_pending_model_file","P1","true","agriculture_land","livestock","swine","swine","not_applicable","animal_population","animal-year","fugitive","true","false","false","false","swine population by age and manure system","PM2.5|PM10|TSP|NH3","animal-year","gcam_kaist_external|livestock_statistics|korean_livestock_nh3_paper","partially_available","CAPSS distinguishes swine age classes in factor derivation.","Annual effective EF needs age and manure-system weights."
"agr_livestock_poultry","0.2.0","Poultry manure and housing","conceptual_pending_model_file","P1","true","agriculture_land","livestock","poultry","poultry","not_applicable","animal_population","animal-year","fugitive","true","false","false","false","poultry population by type and manure system","PM2.5|PM10|TSP|NH3","animal-year","gcam_kaist_external|livestock_statistics|korean_livestock_nh3_paper","partially_available","Layers, broilers, and breeders require separate weights.","Other poultry should not be silently folded into chickens."
"agr_livestock_other","0.2.0","Other livestock manure and housing","conceptual_pending_model_file","P2","false","agriculture_land","livestock","other","other_livestock","not_applicable","animal_population","animal-year","fugitive","true","false","false","false","other animal population and manure system","PM2.5|PM10|TSP|NH3","animal-year","livestock_statistics|capss_annual","proxy_required","Includes goats, sheep, horses, and other material Korean categories.","Species-specific research gap remains."
"agr_fertilizer","0.2.0","Fertilizer application","conceptual_pending_model_file","P1","true","agriculture_land","cropland","fertilizer","fertilizer_application","fertilizer_specific","nitrogen_applied","kg nitrogen applied","fugitive","true","false","false","false","cropland, fertilizer type, and nitrogen rate","NH3","kg nitrogen applied","gcam_kaist_external|fertilizer_statistics|korean_fertilizer_nh3_paper","partially_available","NH3 depends on fertilizer type, crop, and application method.","Do not use fertilizer product mass without nitrogen conversion."
