"crosswalk_id","inventory_id","gcam_cluster","gcam_sector","gcam_subsector","gcam_technology","gcam_fuel","capss_major_category","capss_intermediate_category","capss_minor_category","capss_detail_category","capss_fuel_or_process","match_status","allocation_rule","double_counting_risk","boundary_note","source_id","notes"
"cw_ind_cement_grinding_unresolved","ind_cement_grinding","industry","cement","grinding","cement_grinding","electricity","","","","","research gap","unresolved","research_required","medium","CAPSS public taxonomy has no confirmed grinding-only process row.","capss_handbook_vii","CAPSS public taxonomy has no confirmed grinding-only process row."
"cw_ind_cement_kiln_combustion_kiln","ind_cement_kiln_combustion","industry","cement","clinker","kiln_combustion","fuel_specific","제조업 연소","공정로","시멘트 생산","","fuel specific","exact","one_to_one","low","Kiln fuel-combustion boundary aligns.","capss_handbook_vii","Calcination is excluded."
"cw_ind_cement_fugitive_unresolved","ind_cement_fugitive","industry","cement","clinker_and_grinding","material_handling","process_material","","","","","research gap","unresolved","research_required","medium","Cement material-handling dust is not isolated in the current public CAPSS hierarchy.","capss_handbook_vii","Cement material-handling dust is not isolated in the current public CAPSS hierarchy."
"cw_ind_chem_organic_organic","ind_chem_organic","industry","chemicals","organic","organic_chemical_process","feedstock_specific","생산공정","유기화학제품 제조업","에틸렌","","product-specific process","aggregate_proxy","allocate_by_product_output","high","Inventory row covers many products while the CAPSS category is product-specific.","capss_handbook_vii","Expand to every observed product before EF extraction."
"cw_ind_chem_inorganic_inorganic","ind_chem_inorganic","industry","chemicals","inorganic","inorganic_chemical_process","feedstock_specific","생산공정","무기화학제품 제조업","기타","","product-specific process","aggregate_proxy","allocate_by_product_output","high","CAPSS inorganic products require separate mappings.","capss_handbook_vii","Do not treat 기타 as a raw factor."
"cw_ind_chem_combustion_manufacturing","ind_chem_combustion","industry","chemicals","steam_and_heat","industrial_combustion","fuel_specific","제조업 연소","기타","화합물 및 화학제품 제조업","","fuel specific","aggregate_proxy","allocate_by_fuel_use","medium","CAPSS industry row pools chemical facilities and equipment.","capss_handbook_vii","Use sector fuel survey and equipment shares."
"cw_ind_chem_storage_loading_storage","ind_chem_storage_loading","industry","chemicals","storage_and_loading","tank_and_loading_losses","volatile_products","생산공정","석유제품산업","석유제품 저장 및 취급","","volatile product throughput","documented_proxy","allocate_by_product_volatility","high","Only petroleum-product storage is explicit; broader chemicals remain unresolved.","capss_handbook_vii","Do not generalize without product evidence."
"cw_ind_chem_flaring_unresolved","ind_chem_flaring","industry","chemicals","flaring","flare","flare_gas","","","","","research gap","unresolved","research_required","medium","No confirmed CAPSS chemical-flaring category and direct flare-gas activity are available.","capss_handbook_vii","No confirmed CAPSS chemical-flaring category and direct flare-gas activity are available."
"cw_ind_plastics_resin_hdpe","ind_plastics_resin","industry","plastics","resin","resin_production","feedstock_specific","생산공정","유기화학제품 제조업","고밀도 폴리에틸렌(HDPE)","","HDPE output","aggregate_proxy","allocate_by_resin_output","high","One representative native resin category cannot stand for the full product mix.","capss_handbook_vii","Expand across LDPE PVC PP PS ABS and other native rows."
"cw_ind_plastics_products_products","ind_plastics_products","industry","plastics","products","plastic_product_manufacturing","fuel_and_solvent_specific","제조업 연소","기타","고무 및 플라스틱 제품 제조업","","fuel specific","documented_proxy","allocate_by_fuel_and_output","medium","CAPSS category is combustion-oriented and omits some solvent/process sources.","capss_handbook_vii","Separate emissions mechanisms in future."
"cw_ind_nonferrous_primary_primary","ind_nonferrous_primary","industry","nonferrous_metals","primary","primary_metal_production","metal_specific","제조업 연소","공정로","1차 구리 생산","","metal-specific output and fuel","aggregate_proxy","allocate_by_metal_output","high","Primary metal row represents multiple metals.","capss_handbook_vii","Expand copper lead zinc aluminium and other metals separately."
"cw_ind_nonferrous_secondary_secondary","ind_nonferrous_secondary","industry","nonferrous_metals","secondary","secondary_metal_production","metal_specific","제조업 연소","공정로","2차 알루미늄 생산","","metal-specific output and fuel","aggregate_proxy","allocate_by_metal_output","high","Secondary metal row represents multiple metals.","capss_handbook_vii","Expand each secondary-metal technology."
"cw_ind_pulp_pulp_process","ind_pulp","industry","pulp_paper","pulp","pulp_production","feedstock_specific","생산공정","목재,펄프 제조업","제지,펄프공정","","pulp output","aggregate_proxy","allocate_by_pulp_output","medium","CAPSS combines pulp and paper processes.","capss_handbook_vii","Requires facility/product allocation."
"cw_ind_paper_paper_process","ind_paper","industry","pulp_paper","paper","paper_production","product_specific","생산공정","목재,펄프 제조업","제지,펄프공정","","paper output","aggregate_proxy","allocate_by_paper_output","medium","CAPSS combines pulp and paper processes.","capss_handbook_vii","Requires facility/product allocation."
"cw_ind_paper_drying","ind_paper","industry","pulp_paper","paper","paper_production","product_specific","제조업 연소","공정로","제지 산업(건조공정)","","fuel specific","documented_proxy","allocate_by_paper_output_and_fuel","medium","Drying combustion is one paper-production component.","capss_handbook_vii","Avoid overlap with generic pulp/paper combustion."
"cw_ind_pulp_recovery_boiler_unresolved","ind_pulp_recovery_boiler","industry","pulp_paper","pulp","recovery_boiler","black_liquor","","","","","research gap","unresolved","research_required","medium","Recovery boilers are not explicit in the public CAPSS minor categories.","capss_handbook_vii","Recovery boilers are not explicit in the public CAPSS minor categories."
"cw_ind_pulp_lime_kiln_unresolved","ind_pulp_lime_kiln","industry","pulp_paper","pulp","lime_kiln","fuel_specific","","","","","research gap","unresolved","research_required","medium","Pulp lime kilns are not isolated from generic lime production in CAPSS.","capss_handbook_vii","Pulp lime kilns are not isolated from generic lime production in CAPSS."
"cw_ind_other_mfg_combustion_other","ind_other_mfg_combustion","industry","other_manufacturing","combustion","industrial_combustion","fuel_specific","제조업 연소","기타","기타 기계 및 장비 제조업","","fuel specific","aggregate_proxy","allocate_by_industry_fuel_use","high","Residual row spans many CAPSS manufacturing industries.","capss_handbook_vii","Named sectors must be subtracted before allocation."
"cw_ind_other_mfg_process_unresolved","ind_other_mfg_process","industry","other_manufacturing","process","manufacturing_process","product_specific","","","","","research gap","unresolved","research_required","medium","Residual manufacturing process categories need product-specific expansion.","capss_handbook_vii","Residual manufacturing process categories need product-specific expansion."
"cw_trn_road_passenger_gasoline_ldv_경형","trn_road_passenger_gasoline_ldv","transportation","road_passenger","light_duty_vehicle","gasoline_ldv","gasoline","도로이동오염원","승용차","경형","","휘발유","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_gasoline_ldv_소형","trn_road_passenger_gasoline_ldv","transportation","road_passenger","light_duty_vehicle","gasoline_ldv","gasoline","도로이동오염원","승용차","소형","","휘발유","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_gasoline_ldv_중형","trn_road_passenger_gasoline_ldv","transportation","road_passenger","light_duty_vehicle","gasoline_ldv","gasoline","도로이동오염원","승용차","중형","","휘발유","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_gasoline_ldv_대형","trn_road_passenger_gasoline_ldv","transportation","road_passenger","light_duty_vehicle","gasoline_ldv","gasoline","도로이동오염원","승용차","대형","","휘발유","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_diesel_ldv_경형","trn_road_passenger_diesel_ldv","transportation","road_passenger","light_duty_vehicle","diesel_ldv","diesel","도로이동오염원","승용차","경형","","경유","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_diesel_ldv_소형","trn_road_passenger_diesel_ldv","transportation","road_passenger","light_duty_vehicle","diesel_ldv","diesel","도로이동오염원","승용차","소형","","경유","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_diesel_ldv_중형","trn_road_passenger_diesel_ldv","transportation","road_passenger","light_duty_vehicle","diesel_ldv","diesel","도로이동오염원","승용차","중형","","경유","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_diesel_ldv_대형","trn_road_passenger_diesel_ldv","transportation","road_passenger","light_duty_vehicle","diesel_ldv","diesel","도로이동오염원","승용차","대형","","경유","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_lpg_ldv_경형","trn_road_passenger_lpg_ldv","transportation","road_passenger","light_duty_vehicle","lpg_ldv","LPG","도로이동오염원","승용차","경형","","LPG","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_lpg_ldv_소형","trn_road_passenger_lpg_ldv","transportation","road_passenger","light_duty_vehicle","lpg_ldv","LPG","도로이동오염원","승용차","소형","","LPG","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_lpg_ldv_중형","trn_road_passenger_lpg_ldv","transportation","road_passenger","light_duty_vehicle","lpg_ldv","LPG","도로이동오염원","승용차","중형","","LPG","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_lpg_ldv_대형","trn_road_passenger_lpg_ldv","transportation","road_passenger","light_duty_vehicle","lpg_ldv","LPG","도로이동오염원","승용차","대형","","LPG","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_hybrid_ldv_경형","trn_road_passenger_hybrid_ldv","transportation","road_passenger","light_duty_vehicle","gasoline_hybrid_ldv","gasoline_and_electricity","도로이동오염원","승용차","경형","","휘발유+전기","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_hybrid_ldv_소형","trn_road_passenger_hybrid_ldv","transportation","road_passenger","light_duty_vehicle","gasoline_hybrid_ldv","gasoline_and_electricity","도로이동오염원","승용차","소형","","휘발유+전기","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_hybrid_ldv_중형","trn_road_passenger_hybrid_ldv","transportation","road_passenger","light_duty_vehicle","gasoline_hybrid_ldv","gasoline_and_electricity","도로이동오염원","승용차","중형","","휘발유+전기","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_passenger_hybrid_ldv_대형","trn_road_passenger_hybrid_ldv","transportation","road_passenger","light_duty_vehicle","gasoline_hybrid_ldv","gasoline_and_electricity","도로이동오염원","승용차","대형","","휘발유+전기","documented_proxy","allocate_by_class_fuel_model_year_vehicle_km","medium","GCAM LDV activity must be split across native CAPSS size classes.","capss_handbook_vii","Exact factor application occurs only after fleet weighting."
"cw_trn_road_bus_시내버스","trn_road_bus","transportation","road_passenger","bus","bus","diesel_CNG_and_electric","도로이동오염원","버스","시내버스","","fuel specific","documented_proxy","allocate_by_bus_class_fuel_vehicle_km","medium","Bus fuel and service class shares are required.","capss_handbook_vii","Electric bus distance is excluded from direct emissions."
"cw_trn_road_bus_시외버스","trn_road_bus","transportation","road_passenger","bus","bus","diesel_CNG_and_electric","도로이동오염원","버스","시외버스","","fuel specific","documented_proxy","allocate_by_bus_class_fuel_vehicle_km","medium","Bus fuel and service class shares are required.","capss_handbook_vii","Electric bus distance is excluded from direct emissions."
"cw_trn_road_bus_전세버스","trn_road_bus","transportation","road_passenger","bus","bus","diesel_CNG_and_electric","도로이동오염원","버스","전세버스","","fuel specific","documented_proxy","allocate_by_bus_class_fuel_vehicle_km","medium","Bus fuel and service class shares are required.","capss_handbook_vii","Electric bus distance is excluded from direct emissions."
"cw_trn_road_bus_고속버스","trn_road_bus","transportation","road_passenger","bus","bus","diesel_CNG_and_electric","도로이동오염원","버스","고속버스","","fuel specific","documented_proxy","allocate_by_bus_class_fuel_vehicle_km","medium","Bus fuel and service class shares are required.","capss_handbook_vii","Electric bus distance is excluded from direct emissions."
"cw_trn_road_motorcycle_50cc_미만","trn_road_motorcycle","transportation","road_passenger","motorcycle","motorcycle","gasoline","도로이동오염원","이륜차","50cc 미만","","휘발유","documented_proxy","allocate_by_displacement_model_year_vehicle_km","medium","Motorcycle activity is aggregate across displacement groups.","capss_handbook_vii","Use native displacement and model-year weights."
"cw_trn_road_motorcycle_50cc_이상","trn_road_motorcycle","transportation","road_passenger","motorcycle","motorcycle","gasoline","도로이동오염원","이륜차","50cc 이상","","휘발유","documented_proxy","allocate_by_displacement_model_year_vehicle_km","medium","Motorcycle activity is aggregate across displacement groups.","capss_handbook_vii","Use native displacement and model-year weights."
"cw_trn_road_motorcycle_100cc_이상","trn_road_motorcycle","transportation","road_passenger","motorcycle","motorcycle","gasoline","도로이동오염원","이륜차","100cc 이상","","휘발유","documented_proxy","allocate_by_displacement_model_year_vehicle_km","medium","Motorcycle activity is aggregate across displacement groups.","capss_handbook_vii","Use native displacement and model-year weights."
"cw_trn_road_motorcycle_260cc_이상","trn_road_motorcycle","transportation","road_passenger","motorcycle","motorcycle","gasoline","도로이동오염원","이륜차","260cc 이상","","휘발유","documented_proxy","allocate_by_displacement_model_year_vehicle_km","medium","Motorcycle activity is aggregate across displacement groups.","capss_handbook_vii","Use native displacement and model-year weights."
"cw_trn_road_freight_lcv_경형","trn_road_freight_lcv","transportation","road_freight","light_commercial_vehicle","light_commercial_vehicle","fuel_specific","도로이동오염원","화물차","경형","","fuel specific","documented_proxy","allocate_by_vehicle_class_payload_vehicle_km","medium","LCV boundary must be reconciled with CAPSS class.","capss_handbook_vii","Do not include passenger RVs."
"cw_trn_road_freight_lcv_소형","trn_road_freight_lcv","transportation","road_freight","light_commercial_vehicle","light_commercial_vehicle","fuel_specific","도로이동오염원","화물차","소형","","fuel specific","documented_proxy","allocate_by_vehicle_class_payload_vehicle_km","medium","LCV boundary must be reconciled with CAPSS class.","capss_handbook_vii","Do not include passenger RVs."
"cw_trn_road_freight_mdv_medium","trn_road_freight_mdv","transportation","road_freight","medium_duty_truck","medium_duty_truck","diesel","도로이동오염원","화물차","중형","","경유","documented_proxy","allocate_by_vehicle_class_payload_vehicle_km","medium","GCAM payload boundary requires confirmation.","capss_handbook_vii","Keep medium trucks separate."
"cw_trn_road_freight_hdv_대형","trn_road_freight_hdv","transportation","road_freight","heavy_duty_truck","heavy_duty_truck","diesel","도로이동오염원","화물차","대형","","경유","documented_proxy","allocate_by_vehicle_class_payload_vehicle_km","medium","HDV activity spans native heavy and vocational classes.","capss_handbook_vii","Construction vocational use may overlap nonroad/construction activity."
"cw_trn_road_freight_hdv_덤프트럭","trn_road_freight_hdv","transportation","road_freight","heavy_duty_truck","heavy_duty_truck","diesel","도로이동오염원","화물차","덤프트럭","","경유","documented_proxy","allocate_by_vehicle_class_payload_vehicle_km","medium","HDV activity spans native heavy and vocational classes.","capss_handbook_vii","Construction vocational use may overlap nonroad/construction activity."
"cw_trn_road_freight_hdv_콘크리트믹서트럭","trn_road_freight_hdv","transportation","road_freight","heavy_duty_truck","heavy_duty_truck","diesel","도로이동오염원","화물차","콘크리트믹서트럭","","경유","documented_proxy","allocate_by_vehicle_class_payload_vehicle_km","medium","HDV activity spans native heavy and vocational classes.","capss_handbook_vii","Construction vocational use may overlap nonroad/construction activity."
"cw_trn_rail_diesel_passenger_locomotive","trn_rail_diesel_passenger","transportation","rail","passenger","diesel_passenger_rail","diesel","비도로이동오염원","철도","기관차","","diesel traction fuel","aggregate_proxy","allocate_by_passenger_traction_fuel","high","CAPSS rail equipment does not identify passenger versus freight service.","capss_handbook_vii","Use operator fuel/service allocation."
"cw_trn_rail_diesel_freight_locomotive","trn_rail_diesel_freight","transportation","rail","freight","diesel_freight_rail","diesel","비도로이동오염원","철도","기관차","","diesel traction fuel","aggregate_proxy","allocate_by_freight_traction_fuel","high","CAPSS rail equipment does not identify passenger versus freight service.","capss_handbook_vii","Use operator fuel/service allocation."
"cw_trn_rail_electric_passenger_not_applicable","trn_rail_electric_passenger","transportation","rail","passenger","electric_passenger_rail","electricity","","","","","none","not_applicable","none","low","Electric traction has no direct combustion CAPSS mapping.","capss_handbook_vii","Electric traction has no direct combustion CAPSS mapping."
"cw_trn_rail_electric_freight_not_applicable","trn_rail_electric_freight","transportation","rail","freight","electric_freight_rail","electricity","","","","","none","not_applicable","none","low","Electric traction has no direct combustion CAPSS mapping.","capss_handbook_vii","Electric traction has no direct combustion CAPSS mapping."
"cw_trn_aviation_passenger_lto_domestic","trn_aviation_passenger_lto","transportation","aviation","passenger_lto","passenger_aircraft_lto","jet_fuel","비도로이동오염원","항공","국내항공","","passenger LTO cycles","aggregate_proxy","allocate_by_aircraft_engine_passenger_lto","medium","CAPSS domestic aviation is not split into passenger and freight in public totals.","capss_handbook_vii","Apply aircraft-engine LTO factors before annual averaging."
"cw_trn_aviation_passenger_cruise_unresolved","trn_aviation_passenger_cruise","transportation","aviation","passenger_cruise","passenger_aircraft_cruise","jet_fuel","","","","","research gap","unresolved","research_required","medium","A separate domestic cruise boundary is not confirmed in the CAPSS public taxonomy.","capss_handbook_vii","A separate domestic cruise boundary is not confirmed in the CAPSS public taxonomy."
"cw_trn_aviation_freight_lto_domestic","trn_aviation_freight_lto","transportation","aviation","freight_lto","freight_aircraft_lto","jet_fuel","비도로이동오염원","항공","국내항공","","freight LTO cycles","aggregate_proxy","allocate_by_aircraft_engine_freight_lto","high","Belly freight and dedicated freighters share domestic aviation totals.","capss_handbook_vii","Passenger allocation must be removed."
"cw_trn_aviation_freight_cruise_unresolved","trn_aviation_freight_cruise","transportation","aviation","freight_cruise","freight_aircraft_cruise","jet_fuel","","","","","research gap","unresolved","research_required","medium","A separate domestic freight cruise boundary is not confirmed in CAPSS.","capss_handbook_vii","A separate domestic freight cruise boundary is not confirmed in CAPSS."
"cw_trn_shipping_passenger_passenger","trn_shipping_passenger","transportation","shipping","passenger","passenger_vessel","marine_fuel_specific","비도로이동오염원","선박","여객","","engine fuel mode","exact","one_to_one","medium","Vessel class aligns; engine fuel and mode remain factor dimensions.","capss_handbook_vii","Cruise maneuvering and hoteling are weighted below this source category."
"cw_trn_shipping_freight_freight","trn_shipping_freight","transportation","shipping","freight","freight_vessel","marine_fuel_specific","비도로이동오염원","선박","화물","","engine fuel mode","exact","one_to_one","medium","Vessel class aligns; engine fuel and mode remain factor dimensions.","capss_handbook_vii","Commercial freight only; leisure factors prohibited."
"cw_trn_shipping_fishing_fishing","trn_shipping_fishing","transportation","shipping","fishing","fishing_vessel","marine_diesel","비도로이동오염원","선박","어선","","engine fuel mode","exact","one_to_one","high","Vessel class aligns but may overlap fisheries energy accounting.","capss_handbook_vii","Choose one owning module before emissions aggregation."
"cw_trn_nonroad_construction_공기압축기","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","공기압축기","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_construction_굴삭기","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","굴삭기","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_construction_기중기","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","기중기","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_construction_로우더","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","로우더","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_construction_로울러","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","로울러","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_construction_불도저","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","불도저","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_construction_지게차","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","지게차","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_construction_천공기","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","천공기","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_construction_콘크리트펌프","trn_nonroad_construction","transportation","nonroad_machinery","construction","construction_machinery","diesel","비도로이동오염원","건설장비","콘크리트펌프","","diesel equipment","documented_proxy","allocate_by_equipment_power_year_hours","medium","Aggregate construction activity must be split across native equipment.","capss_handbook_vii","Tier and model year remain EF dimensions."
"cw_trn_nonroad_port_cargo_unresolved","trn_nonroad_port_cargo","transportation","nonroad_machinery","port","port_cargo_handling_equipment","diesel_and_electricity","","","","","research gap","unresolved","research_required","medium","CAPSS public taxonomy does not isolate port cargo-handling equipment.","capss_handbook_vii","CAPSS public taxonomy does not isolate port cargo-handling equipment."
"cw_bld_residential_space_heat_boiler","bld_residential_space_heat","buildings","residential","space_heating","direct_combustion","fuel_specific","비산업 연소","주거용시설","1,2,3종(보일러)","","fuel specific","documented_proxy","allocate_by_end_use_fuel","medium","CAPSS residential combustion is not split by end use.","capss_handbook_vii","Separate space heat from water heat and cooking."
"cw_bld_residential_water_heat_boiler","bld_residential_water_heat","buildings","residential","water_heating","direct_combustion","fuel_specific","비산업 연소","주거용시설","1,2,3종(보일러)","","fuel specific","aggregate_proxy","allocate_by_end_use_fuel","high","Same CAPSS boiler source is shared with residential space heating.","capss_handbook_vii","Require end-use fuel shares to prevent duplication."
"cw_bld_residential_cooking_other","bld_residential_cooking","buildings","residential","cooking","cooking_combustion","natural_gas_and_LPG","비산업 연소","주거용시설","기타","","natural gas and LPG","aggregate_proxy","allocate_by_cooking_fuel","high","CAPSS 기타 is not a cooking-specific technology.","capss_handbook_vii","Do not mix food-cooking aerosol with fuel combustion."
"cw_bld_commercial_space_heat_commercial_public","bld_commercial_space_heat","buildings","commercial","space_heating","direct_combustion","fuel_specific","비산업 연소","상업 및 공공기관시설","1,2,3종(보일러)","","fuel specific","aggregate_proxy","allocate_by_commercial_public_end_use_fuel","high","CAPSS combines commercial and public facilities and does not identify end use.","capss_handbook_vii","Use building-class and service shares; prevent reuse of the same CAPSS total."
