"rule_id","sector","subsector","technology_pattern","fuel_pattern","inventory_ids","match_status","allocation_note"
"map_ind_pulp_smelt","Industry","Pulp and paper","Smelt dissolving tank",".*","ind_pulp","aggregate_proxy","No dedicated GCAM activity exists for the dissolving tank."
"map_ind_wood_pulp","Industry","Wood and pulp",".*",".*","ind_pulp","aggregate_proxy","Plywood is retained as a candidate proxy under the broader pulp activity pending native GCAM taxonomy."
"map_aqs_architectural_coatings","Solvent and product use","Architectural and construction coatings",".*",".*","aqs_solvent_use","documented_proxy","Product-specific VOC content requires annual coating-volume weights."
"map_aqs_auto_coating","Solvent and product use","Automobile manufacturing coating",".*",".*","aqs_solvent_use","documented_proxy","The supplemental solvent activity preserves the source-use category."
"map_aqs_industrial_coating","Solvent and product use","Other industrial coating",".*",".*","aqs_solvent_use","documented_proxy","The supplemental solvent activity preserves the source-use category."
"map_aqs_ship_coating","Solvent and product use","Shipbuilding coating",".*",".*","aqs_solvent_use","documented_proxy","The supplemental solvent activity preserves the source-use category."
"map_aqs_wood_coating","Solvent and product use","Wood/furniture coating",".*",".*","aqs_solvent_use","documented_proxy","The supplemental solvent activity preserves the source-use category."
"map_trn_rail","Transport","Rail",".*",".*","trn_rail_diesel_passenger|trn_rail_diesel_freight","aggregate_proxy","CAPSS equipment factors do not distinguish modeled passenger from freight activity."
"map_trn_motorcycles","Transport","Road motorcycles",".*",".*","trn_road_motorcycle","documented_proxy","Engine-size and vintage formulas require annual fleet/VKT weighting."
"map_trn_shipping_cargo_passenger","Transport","Shipping","Cargo/passenger ship",".*","trn_shipping_passenger|trn_shipping_freight","aggregate_proxy","The source row combines passenger and cargo vessels."
"map_trn_shipping_all","Transport","Shipping","Cargo/passenger/fishing ship",".*","trn_shipping_passenger|trn_shipping_freight|trn_shipping_fishing","aggregate_proxy","The source row combines three vessel uses."
"map_trn_shipping_leisure","Transport","Shipping","Leisure vessel, assumed 2-stroke",".*","trn_shipping_passenger","aggregate_proxy","No modeled leisure-vessel activity exists; retain only as a passenger-shipping validation proxy."
"map_wst_industrial_incineration","Waste","Industrial waste incineration",".*",".*","wst_industrial_incineration","documented_proxy","Capacity and control classes require annual facility weighting."
"map_wst_industrial_wastewater","Waste","Industrial wastewater",".*",".*","wst_wastewater","documented_proxy","Industrial and residential/commercial treatment must remain distinct below the aggregate activity."
"map_wst_municipal_incineration","Waste","Municipal waste incineration",".*",".*","wst_municipal_incineration","documented_proxy","Capacity and control classes require annual facility weighting."
"map_wst_residential_wastewater","Waste","Residential/commercial wastewater",".*",".*","wst_wastewater","documented_proxy","Industrial and residential/commercial treatment must remain distinct below the aggregate activity."
